,Parent Object,"Object (Heating System, Envelop, Water, etc)",Type,Subtype,Details Category,Data Field,Field Type,"Object Type (Picker,Field Etc)",Dependancy,Formula,Field Unit,Input Requirement,Field Source,Validation Rules,Flag Condition,Multiple choices possible?,Multiple iterations possible?,Elevate Multifamily,NEI Walk Through (NEI Existing Bldg),Michigan,Green Coast,Elevate 2-4,Elevate Non-Profit,Water Only,NEI Existing Conditions (NEI New Con),AHRAE Level 2,Input for Measure Calculation,Reference for Measure Calculation,"If Reference for Measure Calculation, How?"
,"Building, Audit",Domestic Hot Water System,"Direct Fired, Boiler/Tank - Indirect Fired",,Equipment,"Pipe Insulation R-Value, if applicable",Decimal,,,,hour ft2 °F Btu-1,Required,,,,,x,x,x,,,x,x,x,x,x,x,,
,"Building, Audit",Domestic Hot Water System,"Direct Fired, Boiler/Tank - Indirect Fired",,Equipment,Measured Efficiency,Decimal,,For testable configurations only,,percentage,Optional,,,,,x,x,,,,x,x,x     ,,x,x,,
,"Building, Audit",Domestic Hot Water System,"Direct Fired, Boiler/Tank - Indirect Fired",,Equipment,Last Recorded Efficiency,Decimal,,For testable configurations only,,,,,,,,,,,,,,,,,,,,
,"Building, Audit",Domestic Hot Water System,"Direct Fired, Boiler/Tank - Indirect Fired",,Equipment,Measured CO2,Decimal,,For testable configurations only,,percentage,Optional,,,,,x,x,,,,x,x,x     ,,,,x,
,"Building, Audit",Domestic Hot Water System,"Direct Fired, Boiler/Tank - Indirect Fired",,Equipment,Measured Flue Temperature,Decimal,,For testable configurations only,,°F,Optional,,,,,x,x,,,,x,x,x     ,,x,,x,
,"Building, Audit",Domestic Hot Water System,"Direct Fired, Boiler/Tank - Indirect Fired",,Equipment,Measured CO,Decimal,,For testable configurations only,,ppm,Optional,,,,,x,x,,,,x,x,x     ,,x,,x,
,"Building, Audit",Domestic Hot Water System,"Direct Fired, Boiler/Tank - Indirect Fired",,Equipment,Measured O2,Decimal,,For testable configurations only,,percentage,Optional,,,,,x,x,,,,x,x,x     ,,x,,x,
,"Building, Audit",Domestic Hot Water System,"Direct Fired, Boiler/Tank - Indirect Fired",,Equipment,"If no combustion test, reason:",String,,,,,Required,,,,,x,x,,,,x,x,x     ,,x,,,
,"Building, Audit",Domestic Hot Water System,"Direct Fired, Boiler/Tank - Indirect Fired",,Controls,Same as Heating System,Switch,,,,,,,,,,,,,,,,,,,,,,
,Building,Envelope,Door,,,Location,String,,,,,,,,,,x,x,x,,,x,x,,x,x,,x,
,Building,Envelope,Door,,,Type,String,,,,,,,"Hinged, Sliding",,,x,x,,,,x,x,,,,x,,
,Building,Envelope,Door,,,Fill,String,,,,,,,"Solid, Hollow",,,x,x,,,,x,x,,,,x,,
,Building,Envelope,Door,,,Material,String,,,,,,,"Wood, Steel, Other",,,x,x,,,,x,x,,,,x,,
,Building,Envelope,Door,,,Glass %,Decimal,,,,percentage,,,,,,x,x,,,,x,x,,,,x,,
,Building,Envelope,Door,,,Storm Door,Switch,,,,,,,,,,x,x,x,,,x,x,,x,x,x,,
,Building,Envelope,Door,,,Effective Weatherstripping ,Switch,,,,,,,,,,x,x,x,,,x,x,,x,x,x,,
,Building,Envelope,Door,,,Effective Sweep,Switch,,,,,,,,,,x,x,,,,x,x,,,,x,,
,Building,Envelope,Door,,,Air Leakage Notes,String,,,,,,,,,,x,x,,,,x,x,,,,,x,
,Building,Envelope,Door,,,Percentage of Wall Area,Decimal,,,,percentage,,,,,,x,x,,,,x,x,,,,,,
,Building,Envelope,Door,,,Maintainence/Tenant Comments,String,,,,,Optional,,,,,,,x,,,,,,x,x,,,
,Building,Envelope,Windows,"Single Hung, Double Hung, Sliding Door",,Location,String,,,,,,,,,,x,x,xx,,,x,x,,xx,xx,,x,
,Building,Envelope,Windows,"Single Hung, Double Hung, Sliding Door",,Installation date,Date,,,,year,,,,,,,,,,,,,,,,,,
,Building,Envelope,Windows,"Single Hung, Double Hung, Sliding Door",,Panes,Picker,,,,,,,"Single, Double, Triple",,,x,x,x,,,x,x,,x,x,x,,
,Building,Envelope,Windows,"Single Hung, Double Hung, Sliding Door",,Storms,Switch,,,,,,,,,,x,x,x,,,x,x,,x,x,x,,
,Building,Envelope,Windows,"Single Hung, Double Hung, Sliding Door",,Frame Material,Picker,,,,,,,"Wood, Vinyl, Aluminum",,,x,x,x,,,x,x,,x,x,x,,
,Building,Envelope,Windows,"Single Hung, Double Hung, Sliding Door",,Thermally Broken,Switch,,,,,,,,,,x,x,x,,,x,x,,x,x,,x,
,Building,Envelope,Windows,"Single Hung, Double Hung, Sliding Door",,Air Leakage Notes,String,,,,,,,,,,x,x,x,,,x,x,,x,x,,x,
,Building,Envelope,Windows,"Single Hung, Double Hung, Sliding Door",,Percentage of Wall Area,Decimal,,,,percentage,,,,,,x,x,,,,x,x,,x,,x,,
,Building,Envelope,Windows,"Single Hung, Double Hung, Sliding Door",,Maintainence/Tenant Comments,String,,,,,Optional,,,,,,,x,,,,,,x,x,,,
,Building,Envelope,Windows,"Single Hung, Double Hung, Sliding Door",,U Value,Decimal,,,,,,,,,,,,,,,,,,,,,,
,Building,Envelope,Wall Layer,,,Location,String,,,,,,,,,,x,x,x,,,x,x,,x,x,,x,
,Building,Envelope,Wall Layer,,,Composition,Picker,,,,,,,"Concrete, Brick, Frame, Other",,,x,x,x,,,x,x,,x,x,x,,
,Building,Envelope,Wall Layer,,,Insulation,Picker,,,,,,,"Fiberglass, Foam, Cellulose, Other, None",,,x,x,x,,,x,x,,x,x,x,,
,Building,Envelope,Wall Layer,,,Effective R value,Decimal,,,,r value,,,,,,,,,,,,,,,,,,
,Building,Envelope,Wall Layer,,,Cavity Depth,Decimal,,,,inches,,,,,,x,x,x,,,x,x,,x,x,,,
,Building,Envelope,Wall Layer,,,Interior Framing,Switch,,,,,,,,,,x,x,x,,,x,x,,x,x,,x,
,Building,Envelope,Wall Layer,,,Framing Material,Picker,,,,,,,"Metal, Wood, Unknown",,,x,x,x,,,x,x,,x,x,,x,
,Building,Envelope,Wall Layer,,,Destructive Test Complete,Switch,,,,,,,,,,,,,,,,,,,,,,
,Building,Envelope,Roof/Attic Space,,Attic/Roof Cavity,Roof Type,Picker,,,,,,,"Flat, Pitched",,,x,x,x,,,x,x,,x,x,,x,
,Building,Envelope,Roof/Attic Space,,Attic/Roof Cavity,Roof Cavity Thickness,Decimal,,For flat roofs only,,inches,,,,,,x,x,x,,,x,x,,x,x,,,
,Building,Envelope,Roof/Attic Space,,Attic/Roof Cavity,Attic Height at Roof Peak,Decimal,,For pitched roofs only,,,,,,,,,,,,,,,,,,,,
,Building,Envelope,Roof/Attic Space,,Attic/Roof Cavity,Insulation Type,Picker,,,,,,,"Fiberglass Batts, Loose-fill Fiberglass, Loose-fill Cellulose, Vermiculite, None, Other",,x,x,x,x,,,x,x,,x,x,x,,
,Building,Envelope,Roof/Attic Space,,Attic/Roof Cavity,Vented,Switch,,,,,,,,,,,,,,,,,,,,,,
,Building,Envelope,Roof/Attic Space,,Attic/Roof Cavity,Penetrations,String,Notes,,,,,,,,,,,x,,,,,,,x,,,
,Building,Envelope,Roof/Attic Space,,,Access,String,Notes,,,,,,,,,,,,,,,,,,,,,
,Building,Envelope,Roof/Attic Space,,Roof Assembly,Material,String,Picker,,,,,,"Metal Sheeting, Bitumen, Rubber, Fibercore, Shingles, Other",,,x,x,x,,,x,x,,x,x,,,
,Building,Envelope,Roof/Attic Space,,Roof Assembly,Water Leakage,String,Picker,,,,,,"None, Small, Moderate, Large",,,x,x,x,,,x,x,,x,x,,,
,Building,Envelope,Roof/Attic Space,,Roof Assembly,Age,Decimal,,,,Years old,,,,,,,,,,,,,,,,,,
,Building,Envelope,Roof/Attic Space,,Roof Assembly,Roof Assembly Insulation Type,Decimal,,,,in,,,,,,,,,,,,,,,,,,
,Building,Envelope,Roof/Attic Space,,Roof Assembly,Roof Assembly Effective R value,Decimal,,,,,,,,,,,,,,,,,,,,,,
,Building,Envelope,Substructure,,,Type,Text,Picker,,,,Required,,"Basement, Crawlspace, Slab on Grade",,,x,x,,,,x,x,,,x,,x,
,Building,Envelope,Substructure,"Basement, Crawl Space  ",,Insulation Location,Multi-picklist,,,,,Optional,,"Wall, Ceiling, None",,x,x,x,xx,,,x,x,,xx,xx,,x,
,Building,Envelope,Substructure,"Basement, Crawl Space, Slab on Grade",,Insulation Material,Picker,,,,,Optional,,"Fiberglass, Foam, Cellulose, other, none",,x,x,x,xx,,,x,x,,xx,xx,x,,
,Building,Envelope,Substructure,"Basement, Crawl Space, Slab on Grade",,Insulation Notes,String,,,,,Optional,,,,,x,x,,,,x,x,,,,,x,
,Building,Envelope,Substructure,"Basement, Crawl Space, Slab on Grade",,Insulation Thickness,Decimal,,,,,,,,,,,,,,,,,,,,,,
,Building,Envelope,Substructure,Basement,,Wall Insulation Thickness,Decimal,,,,,,,,,,,,,,,,,,,,,,
,Building,Envelope,Substructure,Basement,,Ceiling Insulation Thickness,Decimal,,,,,,,,,,,,,,,,,,,,,,
,Building,Envelope,Substructure,"Basement, Crawl Space, Slab on Grade",,Air Leakage Rating,Picker,,,,,Optional,,"Tight, Average, Leaky",,,x,x,xx,,,x,x,,xx,xx,x,,
,Building,Envelope,Substructure,"Basement, Crawl Space, Slab on Grade",,Air Leakage Notes,String,,,,,Optional,,,,,x,x,x,,,x,x,,x,x,,x,
,Building,,,,,Abatement Meter,Switch,,,,,,,,,,,,x,,,,,x,,x,,,
,Building,Ventilation,Makeup Air Units,"Heating, Cooling, Both, None",Roof,Make,String,,,,,,,,,,,,,,,,,,,,,,
,Building,Ventilation,Makeup Air Units,"Heating, Cooling, Both, None",Roof,Model,String,,,,,,,,,,,,,,,,,,,,,,
,Building,Ventilation,Makeup Air Units,"Heating, Cooling, Both, None",Roof,settings,String,,,,,,,,,,,,,,,,,,,,,,
,Building,Ventilation,Makeup Air Units,"Heating, Cooling, Both, None",Roof,controls,String,,,,,,,,,,,,,,,,,,,,,,
,Building,Ventilation,Makeup Air Units,"Heating, Cooling, Both, None",Roof,area served,Multi-picklist,,,,,,,"Corridor, Apartments, Common Area",,,,,,,,,,,,,,,
,Building,Ventilation,Makeup Air Units,"Heating, Cooling, Both, None",Roof,Subtype,Options,,,,,,,"Heating, Cooling, Both, None",,,,,,,,,,,,,,,
,Building,Ventilation,Makeup Air Units,"Heating, Cooling, Both, None",Roof,Electric heating rating,Decimal,,,,kw,,,,,,,,x,,,,,,x,x,,,
,Building,Ventilation,Makeup Air Units,"Heating, Cooling, Both, None",Roof,"If Gas, staged or modulating?",Multi-picklist,,,,,,,"Stage #'s, Modulating range",,,,,x,,,,,,x,x,,,
,Building,Ventilation,Makeup Air Units,"Heating, Cooling, Both, None",Roof,Variable Speed Drive,String,,,,,,,"Yes, No",,,,,x,,,,,,x,x,,,
,Building,Ventilation,Makeup Air Units,"Heating, Cooling, Both, None",Roof,Motor Make,String,,,,,,,,,,,,,,,,,,,,,,
,Building,Ventilation,Makeup Air Units,"Heating, Cooling, Both, None",Roof,Motor Model,String,,,,,,,,,,,,,,,,,,,,,,
,Building,Ventilation,Makeup Air Units,"Heating, Cooling, Both, None",Roof,Rated Power,Decimal,,,,hp,,,,,,,,x,,,,,,x,x,,,
,Building,Ventilation,Makeup Air Units,"Heating, Cooling, Both, None",Roof,Air flow rating,Decimal,,,,CFM,,,,,,,,x,,,,,,x,x,,,
,Building,Ventilation,Makeup Air Units,"Heating, Cooling, Both, None",Roof,Static Pressure,Decimal,,,,in. w.c.,,,,,,,,,,,,,,,,,,
,Building,Ventilation,Makeup Air Units,"Heating, Cooling, Both, None",Roof,Age,Decimal,,,,years,,,,,,,,x,,,,,,x,x,,,
,Building,Ventilation,Makeup Air Units,"Heating, Cooling, Both, None",Roof,Operating Hours per day,Decimal,,,,hours,,,,,,,,x,,,,,,x,x,,,
,Building,Ventilation,Makeup Air Units,"Heating, Cooling, Both, None",Roof,Location of Temp sensor,Multi-picklist,,,,,,,"Supply Duct, Interior Space",,,,,x,,,,,,x,x,,,
,Building,Ventilation,Heat Recovery Ventilators,,Roof,Make,String,,,,,,,,,,,,x,,,,,,x,x,,,
,Building,Ventilation,Heat Recovery Ventilators,,Roof,Model,String,,,,,,,,,,,,x,,,,,,x,x,,,
,Building,Ventilation,Heat Recovery Ventilators,,Roof,settings,String,,,,,,,,,,,,x,,,,,,x,x,,,
,Building,Ventilation,Heat Recovery Ventilators,,Roof,controls,String,,,,,,,,,,,,x,,,,,,x,x,,,
,Building,Ventilation,Heat Recovery Ventilators,,Roof,area served,String,,,,,,,,,,,,x,,,,,,x,x,,,
,Building,Ventilation,Heat Recovery Ventilators,,Roof,efficiency,Decimal,,,,%,,,,,,,,x,,,,,,x,x,,,
,Building,Ventilation,Heat Recovery Ventilators,,Roof,Air flow rating,Decimal,,,,CFM,,,,,,,,x,,,,,,x,x,,,
,Building,Solar Potential,,,,Usable Area,Decimal,,,,,,,,,,,,x,,,,,,x,x,,,
,Building,Solar Potential,,,,Shading,String,Notes,,,,,,,,,,,x,,,,,,,x,,,
,Building,Solar Potential,,,,Orientation,Picker,,,,,,,"North, South, East, West, NE, NW, SE, SW",,,,,x,,,,,,,x,,,
,"Building, Audit",Cooling System,Cooling,,,Type ,,,,,,,,"Same as Heating, RTU, Split/Mini-split, Heat Pump, Chiller, Window Unit",,,,,,,,,,,,,,,
,"Building, Audit",Cooling System,,,,Cooling Capacity,Decimal,,,,,,,,,,,,,,,,,,,,,,
,"Building, Audit",Cooling System,,,,EER,Decimal,,,,,,,,,,,,,,,,,,,,,,
,"Building, Audit",Cooling System,,,,SEER,Decimal,,,,,,,,,,,,,,,,,,,,,,
,Building,Cooling System,"RTU, Split/Mini-split, Heat Pump, Chiller, Window Unit",,,Make,String,,,,,,,,,,,,,,,,,,,,,,
,Building,Cooling System,"RTU, Split/Mini-split, Heat Pump, Chiller, Window Unit",,,Model,String,,,,,,,,,,,,,,,,,,,,,,
,Building,Cooling System,,,,Daytime Setpoint,Decimal,,,,,,,,,,,,,,,,,,,,,,
,Building,Cooling System,,,,Nighttime Setpoint,Decimal,,,,,,,,,,,,,,,,,,,,,,
,Building,Cooling System,,,,COP,Decimal,,For heat pumps only,,,,,,,,,,,,,,,,,,,,
,Building,Apartment,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Building, Audit",Common Area,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Apartment, Common Area",Laundry,,,,Type,Text,Pick List,,,,,,"Washer, Dryer",,,,,,,,,,,,,,,
,"Apartment, Common Area",Laundry,Dryer,"Gas, Electric",,Subtype,Text,Pick List,,,,,,"Electric, Gas",,,,,,,,,,,,,,,
,"Apartment, Common Area",Laundry,"Washer, Dryer",,,Location,String,,,,,,,,,,,,,,,,,,,,,,
,"Apartment, Common Area",Laundry,"Washer, Dryer",,,Number,Decimal,,,,,,,,,,,,,,,,,,,,,,
,"Apartment, Common Area",Laundry,"Washer, Dryer",,,Brand,String,,,,,,,,,,,,,,,,,,,,,,
,"Apartment, Common Area",Laundry,"Washer, Dryer",,,Model,String,,,,,,,,,,,,,,,,,,,,,,
,"Apartment, Common Area",Laundry,Washer,,,Loading Type,Picker,,,,,,,"Top, Front",,,,,,,,,,,,,,,
,"Apartment, Common Area",Laundry,"Washer, Dryer",,,Capacity,Decimal,,,,,,,,,,,,,,,,,,,,,,
,"Apartment, Common Area",Laundry,"Washer, Dryer",,,Energy Star,Switch,,,,,,,,,,,,,,,,,,,,,,
,"Apartment, Common Area",Lighting,,,,Type,Text,Pick List,,,,,,"CFL, LED, Incandescent",,,,,,,,,,,,,,,
,Common Area,Lighting,"CFL, LED, Incandescent",,,Location,Text,,,,,,,,,,,,,,,,,,,,,,
,"Apartment, Common Area",Lighting,"CFL, LED, Incandescent",,,Rated Wattage,Decimal,,,,,,,,,,,,,,,,,,,,,,
,"Apartment, Common Area",Lighting,"CFL, LED, Incandescent",,,Actual Wattage,Decimal,,,,,,,,,,,,,,,,,,,,,,
,"Apartment, Common Area",Lighting,"CFL, LED, Incandescent",,,Total Number in Apartment Type or Location,Decimal,,,,,,,,,,,,,,,,,,,,,,
,"Apartment, Common Area",Lighting,"CFL, LED, Incandescent",,,Ballast Type,Picker,,,,,,,"Electronic, Magnetic, None",,,,,,,,,,,,,,,
,"Apartment, Common Area",Lighting,"CFL, LED, Incandescent",,,Run Hours,Decimal,,,,,,,0-168,,,,,,,,,,,,,,,
,"Apartment, Common Area",Lighting,"CFL, LED, Incandescent",,,Controls,Picker,,,,,,,"Daylight, Occupancy, Timer,None",,,,,,,,,,,,,,,
,"Apartment, Common Area",Water,,,,Type,Text,Pick List,,,,,,"Bathroom Faucet, Kitchen Faucet, Showerhead",,,,,,,,,,,,,,,
,Common Area,Water,Faucet,,,Location,String,,,,,,,,,,,,,,,,,,,,,,
,"Apartment, Common Area",Water,Toilet,,,Rated GPF,Decimal,,,,,,,,,,,,,,,,,,,,,,
,"Apartment, Common Area",Water,Toilet,,,Measured GPF,Decimal,,,,,,,,,,,,,,,,,,,,,,
,"Apartment, Common Area",Water,Showerhead,,,Rated GPM,Decimal,,,,,,,,,,,,,,,,,,,,,,
,"Apartment, Common Area",Water,Showerhead,,,Measured GPM,Decimal,,,,,,,,,,,,,,,,,,,,,,
,"Apartment, Common Area",Water,Faucet,,,Rated GPM,Decimal,,,,,,,,,,,,,,,,,,,,,,
,"Apartment, Common Area",Water,Faucet,,,Measured GPM,Decimal,,,,,,,,,,,,,,,,,,,,,,
,"Apartment, Common Area",Distribution System,,,,Type,Text,Pick List,,,,,,"1-Pipe Steam Radiators, 2-Pipe Steam Radiators, 2-Pipe Hot Water Radiators, Baseboard Hot Water Radiators, Baseboard Electric Radiators",,,,,,,,,,,,,,,
,"Apartment, Common Area",Distribution System,"1-Pipe Steam Radiators, 2-Pipe Steam Radiators, 2-Pipe Hot Water Radiators, Baseboard Hot Water Radiators, Baseboard Electric Radiators",,,Location,String,,,,,,,,,,,,,,,,,,,,,,
,"Apartment, Common Area",Distribution System,"1-Pipe Steam Radiators, 2-Pipe Steam Radiators, 2-Pipe Hot Water Radiators",,,Number of Sections ,Integer,,,,,,,,,,,,,,,,,,,,,,
,"Apartment, Common Area",Distribution System,"1-Pipe Steam Radiators, 2-Pipe Steam Radiators, 2-Pipe Hot Water Radiators",,,Height,Decimal,,,,,,,,,,,,,,,,,,,,,,
,"Apartment, Common Area",Distribution System,"1-Pipe Steam Radiators, 2-Pipe Steam Radiators, 2-Pipe Hot Water Radiators",,,Percentage of Functional Vents in Apartment Type or Location,Decimal,,,,,,,,,,,,,,,,,,,,,,
,"Apartment, Common Area",Distribution System,"1-Pipe Steam Radiators, 2-Pipe Steam Radiators, 2-Pipe Hot Water Radiators",,,Percentage of Functional Valves in Apartment Type or Location,Decimal,,,,,,,,,,,,,,,,,,,,,,
,"Apartment, Common Area",Distribution System,"Baseboard Hot Water Radiators, Baseboard Electric Radiators",,,Length,String,,,,,,,,,,,,,,,,,,,,,,
,"Apartment, Common Area",Distribution System,"1-Pipe Steam Radiators, 2-Pipe Steam Radiators, 2-Pipe Hot Water Radiators, Baseboard Hot Water Radiators, Baseboard Electric Radiators",,,Notes on General Condition,String,,,,,,,,,,,,,,,,,,,,,,
,"Apartment, Common Area",Heating/Cooling System,,,,Type,Text,Pick List,,,,,,"Individual Furnaces, PTAC, PTHP, Individual Furances with AC ",,,,,,,,,,,,,,,
,"Apartment, Common Area",Heating/Cooling System,"Individual Furnaces, Individual Furances with AC ",Fuel,Equipment,Subtype,Text,,,,,Required,,"Gas, Electric, Oil, Other",,,x,x,x,,,x,x,,,x,x,,
,"Apartment, Common Area",Heating/Cooling System,"Individual Furnaces, Individual Furances with AC, PTAC, PTHP",,,Location,String,,,,,,,,,,,,,,,,,,,,,,
,"Apartment, Common Area",Heating/Cooling System,"Individual Furnaces, Individual Furances with AC, PTAC, PTHP",,,Brand,String,,,,,,,,,,,,,,,,,,,,,,
,"Apartment, Common Area",Heating/Cooling System,"Individual Furnaces, Individual Furances with AC, PTAC, PTHP",,,Year Manufactured,Integer,,,,,,,,,,,,,,,,,,,,,,
,"Apartment, Common Area",Heating/Cooling System,"Individual Furnaces, Individual Furances with AC, PTAC, PTHP",,,Model Number,Decimal,,,,,,,,,,,,,,,,,,,,,,
,"Apartment, Common Area",Heating/Cooling System,"Individual Furnaces, Individual Furances with AC, PTAC, PTHP",,,Serial Number,String,,,,,,,,,,,,,,,,,,,,,,
,"Apartment, Common Area",Heating/Cooling System,"Individual Furnaces, Individual Furances with AC, PTAC, PTHP",,,Input Capacity,Decimal,,,,,,,,,,,,,,,,,,,,,,
,"Apartment, Common Area",Heating/Cooling System,"Individual Furnaces, Individual Furances with AC",Gas,,Output Capacity,Decimal,,,,,,,,,,,,,,,,,,,,,,
,"Apartment, Common Area",Heating/Cooling System,"Individual Furnaces, Individual Furances with AC",Gas,,AFUE,Decimal,,,,,,,,,,,,,,,,,,,,,,
,"Apartment, Common Area",Heating/Cooling System,"Individual Furnaces, Individual Furances with AC",,,Maximum External Static Pressure,Decimal,,,,,,,,,,,,,,,,,,,,,,
,"Apartment, Common Area",Heating/Cooling System,"Individual Furnaces, Individual Furances with AC",,,Rated Temperature Rise,Decimal,,,,,,,,,,,,,,,,,,,,,,
,"Apartment, Common Area",Heating/Cooling System,"Individual Furnaces, Individual Furances with AC",,,Rated Temperature Drop,Decimal,,,,,,,,,,,,,,,,,,,,,,
,"Apartment, Common Area",Heating/Cooling System,"PTAC, PTHP",,,EER,Decimal,,,,,,,,,,,,,,,,,,,,,,
,"Apartment, Common Area",Heating/Cooling System,"PTAC, PTHP",,,Heating COP,Decimal,,,,,,,,,,,,,,,,,,,,,,
,"Apartment, Common Area",Heating/Cooling System,"Individual Furnaces, Individual Furances with AC, PTAC, PTHP",,,Condition,String,,,,,,,,,,,,,,,,,,,,,,
,"Apartment, Common Area",Heating/Cooling System,"Individual Furnaces, Individual Furances with AC",Gas,,Burner Type,Picker,,,,,,,"Atmospheric, Forced Draft (power), Sealed Combustion",,,,,,,,,,,,,,,
,"Apartment, Common Area",Heating/Cooling System,"Individual Furnaces, Individual Furances with AC",Gas,,Modulating Burner?,String,,,,,Optional,,"Yes, No",,,,,,,,,,,,,,,
,"Apartment, Common Area",Heating/Cooling System,"Individual Furnaces, Individual Furances with AC",Gas,,Burner Condition,String,,For gas heaters/furnaces with atomospheric burners only,,,Optional,,"Clean, Dirty, Rusty",,,,,,,,,,,,,,,
,"Apartment, Common Area",Heating/Cooling System,"Individual Furnaces, Individual Furances with AC",Gas,,Flame Rollout?,String,,For gas heaters/furnaces with atomospheric burners only,,,Optional,,"Yes, No, N/A",,,,,,,,,,,,,,,
,"Apartment, Common Area",Heating/Cooling System,"Individual Furnaces, Individual Furances with AC",Gas,,Flame Color,String,,For gas heaters/furnaces with power burners only,,,Optional,,,,,,,,,,,,,,,,,
,"Apartment, Common Area",Heating/Cooling System,"Individual Furnaces, Individual Furances with AC",Gas,,Make-up Air Sufficient?,String,,For non-sealed combustion (atmospheric or forced draft) gas heaters/furnaces only,,,Optional,,"Yes, No, N/A",,,,,,,,,,,,,,,
,"Apartment, Common Area",Heating/Cooling System,"Individual Furnaces, Individual Furances with AC",Gas,,Louver Style,String,,For non-sealed combustion (atmospheric or forced draft) gas heaters/furnaces only,,,Optional,,"Manual, Auto, None",,,,,,,,,,,,,,,
,"Apartment, Common Area",Heating/Cooling System,"Individual Furnaces, Individual Furances with AC",Gas,,Louver Notes,String,,For non-sealed combustion (atmospheric or forced draft) gas heaters/furnaces only,,,Optional,,,,,,,,,,,,,,,,,
,"Apartment, Common Area",Heating/Cooling System,"Individual Furnaces, Individual Furances with AC",Gas,,Exhaust Type,String,,,,,Optional,,"Natural Draft, Fan Assisted",,,,,,,,,,,,,,,
,"Apartment, Common Area",Heating/Cooling System,"Individual Furnaces, Individual Furances with AC",Gas,,Draft Damper Condition,String,,,,,Optional,,"Present-Working, Present-Not Working, Missing, N/A",,,,,,,,,,,,,,,
,"Apartment, Common Area",Heating/Cooling System,"Individual Furnaces, Individual Furances with AC",Gas,,Measured Efficiency,Decimal,,For testable gas heaters/furnaces only,,percentage,Optional,,,,,,,,,,,,,,,,,
,"Apartment, Common Area",Heating/Cooling System,"Individual Furnaces, Individual Furances with AC",Gas,,Last Recorded Efficiency,Decimal,,For testable gas heaters/furnaces only,,,,,,,,,,,,,,,,,,,,
,"Apartment, Common Area",Heating/Cooling System,"Individual Furnaces, Individual Furances with AC",Gas,,Measured CO2,Decimal,,For testable gas heaters/furnaces only,,percentage,Optional,,,,,,,,,,,,,,,,,
,"Apartment, Common Area",Heating/Cooling System,"Individual Furnaces, Individual Furances with AC",Gas,,Measured Flue Temperature,Decimal,,For testable gas heaters/furnaces only,,°F,Optional,,,,,,,,,,,,,,,,,
,"Apartment, Common Area",Heating/Cooling System,"Individual Furnaces, Individual Furances with AC",Gas,,Measured CO,Decimal,,For testable gas heaters/furnaces only,,ppm,Optional,,,,,,,,,,,,,,,,,
,"Apartment, Common Area",Heating/Cooling System,"Individual Furnaces, Individual Furances with AC",Gas,,Measured O2,Decimal,,For testable gas heaters/furnaces only,,percentage,Optional,,,,,,,,,,,,,,,,,
,"Apartment, Common Area",Heating/Cooling System,"Individual Furnaces, Individual Furances with AC",Gas,,"If no combustion test, reason:",String,,,,,Required,,,,,,,,,,,,,,,,,
,"Apartment, Common Area",Exhaust Fan,,,,"If no combustion test, reason:",String,,,,,Required,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
